checkpoint,group_type,group,n,decision_correct_count,decision_correct_denominator,decision_correct_rate,full_correct_count,full_correct_denominator,full_correct_rate,syntax_valid_count,syntax_valid_denominator,syntax_valid_rate,format_valid_count,format_valid_denominator,format_valid_rate,internally_consistent_count,internally_consistent_denominator,internally_consistent_rate,selected_correct_count,selected_correct_denominator,selected_correct_rate,count_correct_count,count_correct_denominator,count_correct_rate,reason_correct_count,reason_correct_denominator,reason_correct_rate,decision_valid_count,decision_valid_denominator,decision_valid_rate,finished_eos_count,finished_eos_denominator,finished_eos_rate,order_compliant_count,order_compliant_denominator,order_compliant_rate,false_clear_count,false_clear_denominator,false_clear_rate,false_report_count,false_report_denominator,false_report_rate,error_incorrect_complete_answers,error_invalid_strict_json,error_invalid_exact_schema,error_wrong_selection,error_wrong_count,error_wrong_reason,error_inconsistent_execution
base_calibration_decision_first,domain,grant administration,24,15,24,0.625,0,24,0.0,24,24,1.0,22,24,0.9166666666666666,1,24,0.041666666666666664,1,24,0.041666666666666664,4,24,0.16666666666666666,1,24,0.041666666666666664,24,24,1.0,24,24,1.0,24,24,1.0,2,16,0.125,7,8,0.875,24,0,2,23,20,23,23
base_calibration_decision_first,domain,manufacturing quality,24,17,24,0.7083333333333334,0,24,0.0,24,24,1.0,21,24,0.875,1,24,0.041666666666666664,2,24,0.08333333333333333,5,24,0.20833333333333334,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,7,8,0.875,24,0,3,22,19,24,23
base_calibration_decision_first,domain,software release,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,23,24,0.9583333333333334,0,24,0.0,3,24,0.125,8,24,0.3333333333333333,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,1,21,16,24,24
base_calibration_decision_first,domain,warehouse dispatch,24,15,24,0.625,0,24,0.0,24,24,1.0,18,24,0.75,0,24,0.0,2,24,0.08333333333333333,3,24,0.125,1,24,0.041666666666666664,24,24,1.0,24,24,1.0,24,24,1.0,1,16,0.0625,8,8,1.0,24,0,6,22,21,23,24
base_calibration_decision_first,family,all__approved_only__events,24,17,24,0.7083333333333334,0,24,0.0,24,24,1.0,17,24,0.7083333333333334,1,24,0.041666666666666664,2,24,0.08333333333333333,5,24,0.20833333333333334,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,7,8,0.875,24,0,7,22,19,24,23
base_calibration_decision_first,family,all__approved_only__issues,24,17,24,0.7083333333333334,0,24,0.0,24,24,1.0,19,24,0.7916666666666666,0,24,0.0,0,24,0.0,6,24,0.25,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,7,8,0.875,24,0,5,24,18,24,24
base_calibration_decision_first,family,all__none__events,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,23,24,0.9583333333333334,0,24,0.0,3,24,0.125,3,24,0.125,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,1,21,21,24,24
base_calibration_decision_first,family,all__none__issues,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,24,24,1.0,0,24,0.0,2,24,0.08333333333333333,8,24,0.3333333333333333,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,0,22,16,24,24
base_calibration_decision_first,family,current__approved_only__events,24,15,24,0.625,0,24,0.0,24,24,1.0,14,24,0.5833333333333334,0,24,0.0,1,24,0.041666666666666664,1,24,0.041666666666666664,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,2,16,0.125,7,8,0.875,24,0,10,23,23,24,24
base_calibration_decision_first,family,current__approved_only__issues,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,19,24,0.7916666666666666,1,24,0.041666666666666664,2,24,0.08333333333333333,8,24,0.3333333333333333,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,4,16,0.25,4,8,0.5,24,0,5,22,16,24,23
base_calibration_decision_first,family,current__none__events,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,24,24,1.0,0,24,0.0,4,24,0.16666666666666666,5,24,0.20833333333333334,5,24,0.20833333333333334,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,0,20,19,19,24
base_calibration_decision_first,family,current__none__issues,24,17,24,0.7083333333333334,1,24,0.041666666666666664,24,24,1.0,24,24,1.0,1,24,0.041666666666666664,5,24,0.20833333333333334,9,24,0.375,4,24,0.16666666666666666,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,7,8,0.875,23,0,0,19,15,20,23
base_calibration_decision_first,stratum,clear,64,8,64,0.125,0,64,0.0,64,64,1.0,55,64,0.859375,1,64,0.015625,3,64,0.046875,4,64,0.0625,4,64,0.0625,64,64,1.0,64,64,1.0,64,64,1.0,0,0,,56,64,0.875,64,0,9,61,60,60,63
base_calibration_decision_first,stratum,control_report,64,62,64,0.96875,0,64,0.0,64,64,1.0,52,64,0.8125,1,64,0.015625,6,64,0.09375,18,64,0.28125,1,64,0.015625,64,64,1.0,64,64,1.0,64,64,1.0,2,64,0.03125,0,0,,64,0,12,58,46,63,63
base_calibration_decision_first,stratum,trigger_report,64,60,64,0.9375,1,64,0.015625,64,64,1.0,57,64,0.890625,1,64,0.015625,10,64,0.15625,23,64,0.359375,4,64,0.0625,64,64,1.0,64,64,1.0,64,64,1.0,4,64,0.0625,0,0,,63,0,7,54,41,60,63
base_calibration_decision_first,suite,calibration,192,130,192,0.6770833333333334,1,192,0.005208333333333333,192,192,1.0,164,192,0.8541666666666666,3,192,0.015625,19,192,0.09895833333333333,45,192,0.234375,9,192,0.046875,192,192,1.0,192,192,1.0,192,192,1.0,6,128,0.046875,56,64,0.875,191,0,28,173,147,183,189
base_calibration_decision_first,suite_stratum,calibration/clear,64,8,64,0.125,0,64,0.0,64,64,1.0,55,64,0.859375,1,64,0.015625,3,64,0.046875,4,64,0.0625,4,64,0.0625,64,64,1.0,64,64,1.0,64,64,1.0,0,0,,56,64,0.875,64,0,9,61,60,60,63
base_calibration_decision_first,suite_stratum,calibration/control_report,64,62,64,0.96875,0,64,0.0,64,64,1.0,52,64,0.8125,1,64,0.015625,6,64,0.09375,18,64,0.28125,1,64,0.015625,64,64,1.0,64,64,1.0,64,64,1.0,2,64,0.03125,0,0,,64,0,12,58,46,63,63
base_calibration_decision_first,suite_stratum,calibration/trigger_report,64,60,64,0.9375,1,64,0.015625,64,64,1.0,57,64,0.890625,1,64,0.015625,10,64,0.15625,23,64,0.359375,4,64,0.0625,64,64,1.0,64,64,1.0,64,64,1.0,4,64,0.0625,0,0,,63,0,7,54,41,60,63
base_calibration_decision_last,all,all,192,128,192,0.6666666666666666,2,192,0.010416666666666666,192,192,1.0,153,192,0.796875,5,192,0.026041666666666668,24,192,0.125,54,192,0.28125,7,192,0.036458333333333336,192,192,1.0,192,192,1.0,192,192,1.0,4,128,0.03125,60,64,0.9375,190,0,39,168,138,185,187
base_calibration_decision_last,declared_operator,none,192,128,192,0.6666666666666666,2,192,0.010416666666666666,192,192,1.0,153,192,0.796875,5,192,0.026041666666666668,24,192,0.125,54,192,0.28125,7,192,0.036458333333333336,192,192,1.0,192,192,1.0,192,192,1.0,4,128,0.03125,60,64,0.9375,190,0,39,168,138,185,187
base_calibration_decision_last,designated_operator,collapse_issues,42,42,42,1.0,0,42,0.0,42,42,1.0,36,42,0.8571428571428571,0,42,0.0,11,42,0.2619047619047619,13,42,0.30952380952380953,2,42,0.047619047619047616,42,42,1.0,42,42,1.0,42,42,1.0,0,42,0.0,0,0,,42,0,6,31,29,40,42
base_calibration_decision_last,designated_operator,none,64,4,64,0.0625,1,64,0.015625,64,64,1.0,51,64,0.796875,2,64,0.03125,3,64,0.046875,3,64,0.046875,1,64,0.015625,64,64,1.0,64,64,1.0,64,64,1.0,0,0,,60,64,0.9375,63,0,13,61,61,63,62
base_calibration_decision_last,designated_operator,recent_only,44,42,44,0.9545454545454546,1,44,0.022727272727272728,44,44,1.0,38,44,0.8636363636363636,1,44,0.022727272727272728,8,44,0.18181818181818182,18,44,0.4090909090909091,4,44,0.09090909090909091,44,44,1.0,44,44,1.0,44,44,1.0,2,44,0.045454545454545456,0,0,,43,0,6,36,26,40,43
base_calibration_decision_last,designated_operator,requested_waivers,42,40,42,0.9523809523809523,0,42,0.0,42,42,1.0,28,42,0.6666666666666666,2,42,0.047619047619047616,2,42,0.047619047619047616,20,42,0.47619047619047616,0,42,0.0,42,42,1.0,42,42,1.0,42,42,1.0,2,42,0.047619047619047616,0,0,,42,0,14,40,22,42,40
base_calibration_decision_last,domain,customer support,24,17,24,0.7083333333333334,0,24,0.0,24,24,1.0,17,24,0.7083333333333334,0,24,0.0,4,24,0.16666666666666666,8,24,0.3333333333333333,1,24,0.041666666666666664,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,7,8,0.875,24,0,7,20,16,23,24
base_calibration_decision_last,domain,data pipeline,24,17,24,0.7083333333333334,1,24,0.041666666666666664,24,24,1.0,19,24,0.7916666666666666,1,24,0.041666666666666664,3,24,0.125,6,24,0.25,1,24,0.041666666666666664,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,7,8,0.875,23,0,5,21,18,23,23
base_calibration_decision_last,domain,event operations,24,15,24,0.625,1,24,0.041666666666666664,24,24,1.0,18,24,0.75,1,24,0.041666666666666664,3,24,0.125,6,24,0.25,2,24,0.08333333333333333,24,24,1.0,24,24,1.0,24,24,1.0,2,16,0.125,7,8,0.875,23,0,6,21,18,22,23
base_calibration_decision_last,domain,field survey,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,20,24,0.8333333333333334,0,24,0.0,1,24,0.041666666666666664,6,24,0.25,1,24,0.041666666666666664,24,24,1.0,24,24,1.0,24,24,1.0,1,16,0.0625,7,8,0.875,24,0,4,23,18,23,24
base_calibration_decision_last,domain,grant administration,24,15,24,0.625,0,24,0.0,24,24,1.0,19,24,0.7916666666666666,2,24,0.08333333333333333,3,24,0.125,6,24,0.25,1,24,0.041666666666666664,24,24,1.0,24,24,1.0,24,24,1.0,1,16,0.0625,8,8,1.0,24,0,5,21,18,23,22
base_calibration_decision_last,domain,manufacturing quality,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,23,24,0.9583333333333334,1,24,0.041666666666666664,3,24,0.125,6,24,0.25,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,1,21,18,24,23
base_calibration_decision_last,domain,software release,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,21,24,0.875,0,24,0.0,4,24,0.16666666666666666,9,24,0.375,1,24,0.041666666666666664,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,3,20,15,23,24
base_calibration_decision_last,domain,warehouse dispatch,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,16,24,0.6666666666666666,0,24,0.0,3,24,0.125,7,24,0.2916666666666667,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,8,21,17,24,24
base_calibration_decision_last,family,all__approved_only__events,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,15,24,0.625,1,24,0.041666666666666664,2,24,0.08333333333333333,6,24,0.25,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,9,22,18,24,23
base_calibration_decision_last,family,all__approved_only__issues,24,14,24,0.5833333333333334,0,24,0.0,24,24,1.0,21,24,0.875,0,24,0.0,0,24,0.0,5,24,0.20833333333333334,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,2,16,0.125,8,8,1.0,24,0,3,24,19,24,24
base_calibration_decision_last,family,all__none__events,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,20,24,0.8333333333333334,0,24,0.0,6,24,0.25,7,24,0.2916666666666667,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,4,18,17,24,24
base_calibration_decision_last,family,all__none__issues,24,17,24,0.7083333333333334,0,24,0.0,24,24,1.0,23,24,0.9583333333333334,0,24,0.0,3,24,0.125,8,24,0.3333333333333333,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,7,8,0.875,24,0,1,21,16,24,24
base_calibration_decision_last,family,current__approved_only__events,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,12,24,0.5,0,24,0.0,1,24,0.041666666666666664,2,24,0.08333333333333333,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,12,23,22,24,24
base_calibration_decision_last,family,current__approved_only__issues,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,17,24,0.7083333333333334,2,24,0.08333333333333333,2,24,0.08333333333333333,12,24,0.5,0,24,0.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,8,8,1.0,24,0,7,22,12,24,22
base_calibration_decision_last,family,current__none__events,24,18,24,0.75,1,24,0.041666666666666664,24,24,1.0,21,24,0.875,1,24,0.041666666666666664,5,24,0.20833333333333334,6,24,0.25,4,24,0.16666666666666666,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,6,8,0.75,23,0,3,19,18,20,23
base_calibration_decision_last,family,current__none__issues,24,15,24,0.625,1,24,0.041666666666666664,24,24,1.0,24,24,1.0,1,24,0.041666666666666664,5,24,0.20833333333333334,8,24,0.3333333333333333,3,24,0.125,24,24,1.0,24,24,1.0,24,24,1.0,2,16,0.125,7,8,0.875,23,0,0,19,16,21,23
base_calibration_decision_last,stratum,clear,64,4,64,0.0625,1,64,0.015625,64,64,1.0,51,64,0.796875,2,64,0.03125,3,64,0.046875,3,64,0.046875,1,64,0.015625,64,64,1.0,64,64,1.0,64,64,1.0,0,0,,60,64,0.9375,63,0,13,61,61,63,62
base_calibration_decision_last,stratum,control_report,64,64,64,1.0,0,64,0.0,64,64,1.0,50,64,0.78125,1,64,0.015625,8,64,0.125,22,64,0.34375,2,64,0.03125,64,64,1.0,64,64,1.0,64,64,1.0,0,64,0.0,0,0,,64,0,14,56,42,62,63
base_calibration_decision_last,stratum,trigger_report,64,60,64,0.9375,1,64,0.015625,64,64,1.0,52,64,0.8125,2,64,0.03125,13,64,0.203125,29,64,0.453125,4,64,0.0625,64,64,1.0,64,64,1.0,64,64,1.0,4,64,0.0625,0,0,,63,0,12,51,35,60,62
base_calibration_decision_last,suite,calibration,192,128,192,0.6666666666666666,2,192,0.010416666666666666,192,192,1.0,153,192,0.796875,5,192,0.026041666666666668,24,192,0.125,54,192,0.28125,7,192,0.036458333333333336,192,192,1.0,192,192,1.0,192,192,1.0,4,128,0.03125,60,64,0.9375,190,0,39,168,138,185,187
base_calibration_decision_last,suite_stratum,calibration/clear,64,4,64,0.0625,1,64,0.015625,64,64,1.0,51,64,0.796875,2,64,0.03125,3,64,0.046875,3,64,0.046875,1,64,0.015625,64,64,1.0,64,64,1.0,64,64,1.0,0,0,,60,64,0.9375,63,0,13,61,61,63,62
base_calibration_decision_last,suite_stratum,calibration/control_report,64,64,64,1.0,0,64,0.0,64,64,1.0,50,64,0.78125,1,64,0.015625,8,64,0.125,22,64,0.34375,2,64,0.03125,64,64,1.0,64,64,1.0,64,64,1.0,0,64,0.0,0,0,,64,0,14,56,42,62,63
base_calibration_decision_last,suite_stratum,calibration/trigger_report,64,60,64,0.9375,1,64,0.015625,64,64,1.0,52,64,0.8125,2,64,0.03125,13,64,0.203125,29,64,0.453125,4,64,0.0625,64,64,1.0,64,64,1.0,64,64,1.0,4,64,0.0625,0,0,,63,0,12,51,35,60,62
competence_uniform_first_i1729_epoch1_calibration,all,all,192,181,192,0.9427083333333334,125,192,0.6510416666666666,192,192,1.0,192,192,1.0,125,192,0.6510416666666666,128,192,0.6666666666666666,134,192,0.6979166666666666,192,192,1.0,192,192,1.0,192,192,1.0,192,192,1.0,6,128,0.046875,5,64,0.078125,67,0,0,64,58,0,67
competence_uniform_first_i1729_epoch1_calibration,declared_operator,none,192,181,192,0.9427083333333334,125,192,0.6510416666666666,192,192,1.0,192,192,1.0,125,192,0.6510416666666666,128,192,0.6666666666666666,134,192,0.6979166666666666,192,192,1.0,192,192,1.0,192,192,1.0,192,192,1.0,6,128,0.046875,5,64,0.078125,67,0,0,64,58,0,67
competence_uniform_first_i1729_epoch1_calibration,designated_operator,collapse_issues,42,42,42,1.0,39,42,0.9285714285714286,42,42,1.0,42,42,1.0,39,42,0.9285714285714286,39,42,0.9285714285714286,39,42,0.9285714285714286,42,42,1.0,42,42,1.0,42,42,1.0,42,42,1.0,0,42,0.0,0,0,,3,0,0,3,3,0,3
competence_uniform_first_i1729_epoch1_calibration,designated_operator,none,64,59,64,0.921875,32,64,0.5,64,64,1.0,64,64,1.0,32,64,0.5,34,64,0.53125,34,64,0.53125,64,64,1.0,64,64,1.0,64,64,1.0,64,64,1.0,0,0,,5,64,0.078125,32,0,0,30,30,0,32
competence_uniform_first_i1729_epoch1_calibration,designated_operator,recent_only,44,44,44,1.0,27,44,0.6136363636363636,44,44,1.0,44,44,1.0,27,44,0.6136363636363636,27,44,0.6136363636363636,32,44,0.7272727272727273,44,44,1.0,44,44,1.0,44,44,1.0,44,44,1.0,0,44,0.0,0,0,,17,0,0,17,12,0,17
competence_uniform_first_i1729_epoch1_calibration,designated_operator,requested_waivers,42,36,42,0.8571428571428571,27,42,0.6428571428571429,42,42,1.0,42,42,1.0,27,42,0.6428571428571429,28,42,0.6666666666666666,29,42,0.6904761904761905,42,42,1.0,42,42,1.0,42,42,1.0,42,42,1.0,6,42,0.14285714285714285,0,0,,15,0,0,14,13,0,15
competence_uniform_first_i1729_epoch1_calibration,domain,customer support,24,24,24,1.0,17,24,0.7083333333333334,24,24,1.0,24,24,1.0,17,24,0.7083333333333334,17,24,0.7083333333333334,18,24,0.75,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,0,8,0.0,7,0,0,7,6,0,7
competence_uniform_first_i1729_epoch1_calibration,domain,data pipeline,24,23,24,0.9583333333333334,14,24,0.5833333333333334,24,24,1.0,24,24,1.0,14,24,0.5833333333333334,15,24,0.625,15,24,0.625,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,1,8,0.125,10,0,0,9,9,0,10
competence_uniform_first_i1729_epoch1_calibration,domain,event operations,24,22,24,0.9166666666666666,17,24,0.7083333333333334,24,24,1.0,24,24,1.0,17,24,0.7083333333333334,17,24,0.7083333333333334,18,24,0.75,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,1,16,0.0625,1,8,0.125,7,0,0,7,6,0,7
competence_uniform_first_i1729_epoch1_calibration,domain,field survey,24,23,24,0.9583333333333334,17,24,0.7083333333333334,24,24,1.0,24,24,1.0,17,24,0.7083333333333334,18,24,0.75,20,24,0.8333333333333334,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,1,16,0.0625,0,8,0.0,7,0,0,6,4,0,7
competence_uniform_first_i1729_epoch1_calibration,domain,grant administration,24,24,24,1.0,15,24,0.625,24,24,1.0,24,24,1.0,15,24,0.625,15,24,0.625,15,24,0.625,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,0,8,0.0,9,0,0,9,9,0,9
competence_uniform_first_i1729_epoch1_calibration,domain,manufacturing quality,24,21,24,0.875,14,24,0.5833333333333334,24,24,1.0,24,24,1.0,14,24,0.5833333333333334,14,24,0.5833333333333334,14,24,0.5833333333333334,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,2,16,0.125,1,8,0.125,10,0,0,10,10,0,10
competence_uniform_first_i1729_epoch1_calibration,domain,software release,24,20,24,0.8333333333333334,15,24,0.625,24,24,1.0,24,24,1.0,15,24,0.625,16,24,0.6666666666666666,17,24,0.7083333333333334,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,2,16,0.125,2,8,0.25,9,0,0,8,7,0,9
competence_uniform_first_i1729_epoch1_calibration,domain,warehouse dispatch,24,24,24,1.0,16,24,0.6666666666666666,24,24,1.0,24,24,1.0,16,24,0.6666666666666666,16,24,0.6666666666666666,17,24,0.7083333333333334,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,0,8,0.0,8,0,0,8,7,0,8
competence_uniform_first_i1729_epoch1_calibration,family,all__approved_only__events,24,23,24,0.9583333333333334,18,24,0.75,24,24,1.0,24,24,1.0,18,24,0.75,19,24,0.7916666666666666,19,24,0.7916666666666666,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,1,8,0.125,6,0,0,5,5,0,6
competence_uniform_first_i1729_epoch1_calibration,family,all__approved_only__issues,24,21,24,0.875,10,24,0.4166666666666667,24,24,1.0,24,24,1.0,10,24,0.4166666666666667,10,24,0.4166666666666667,11,24,0.4583333333333333,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,3,16,0.1875,0,8,0.0,14,0,0,14,13,0,14
competence_uniform_first_i1729_epoch1_calibration,family,all__none__events,24,24,24,1.0,22,24,0.9166666666666666,24,24,1.0,24,24,1.0,22,24,0.9166666666666666,22,24,0.9166666666666666,22,24,0.9166666666666666,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,0,8,0.0,2,0,0,2,2,0,2
competence_uniform_first_i1729_epoch1_calibration,family,all__none__issues,24,21,24,0.875,11,24,0.4583333333333333,24,24,1.0,24,24,1.0,11,24,0.4583333333333333,12,24,0.5,15,24,0.625,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,3,8,0.375,13,0,0,12,9,0,13
competence_uniform_first_i1729_epoch1_calibration,family,current__approved_only__events,24,23,24,0.9583333333333334,21,24,0.875,24,24,1.0,24,24,1.0,21,24,0.875,22,24,0.9166666666666666,22,24,0.9166666666666666,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,1,16,0.0625,0,8,0.0,3,0,0,2,2,0,3
competence_uniform_first_i1729_epoch1_calibration,family,current__approved_only__issues,24,22,24,0.9166666666666666,13,24,0.5416666666666666,24,24,1.0,24,24,1.0,13,24,0.5416666666666666,13,24,0.5416666666666666,13,24,0.5416666666666666,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,2,16,0.125,0,8,0.0,11,0,0,11,11,0,11
competence_uniform_first_i1729_epoch1_calibration,family,current__none__events,24,24,24,1.0,18,24,0.75,24,24,1.0,24,24,1.0,18,24,0.75,18,24,0.75,18,24,0.75,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,0,8,0.0,6,0,0,6,6,0,6
competence_uniform_first_i1729_epoch1_calibration,family,current__none__issues,24,23,24,0.9583333333333334,12,24,0.5,24,24,1.0,24,24,1.0,12,24,0.5,12,24,0.5,14,24,0.5833333333333334,24,24,1.0,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,1,8,0.125,12,0,0,12,10,0,12
competence_uniform_first_i1729_epoch1_calibration,stratum,clear,64,59,64,0.921875,32,64,0.5,64,64,1.0,64,64,1.0,32,64,0.5,34,64,0.53125,34,64,0.53125,64,64,1.0,64,64,1.0,64,64,1.0,64,64,1.0,0,0,,5,64,0.078125,32,0,0,30,30,0,32
competence_uniform_first_i1729_epoch1_calibration,stratum,control_report,64,60,64,0.9375,44,64,0.6875,64,64,1.0,64,64,1.0,44,64,0.6875,45,64,0.703125,48,64,0.75,64,64,1.0,64,64,1.0,64,64,1.0,64,64,1.0,4,64,0.0625,0,0,,20,0,0,19,16,0,20
